transport_,src_conn,dst_conn,source_,destination_,source_hash,destination_hash
iterator_v2: 764,vertica_writer,vertica_writer,analytics.hit_funnel,dm_maker_sandbox.b2b_chrome_extension,3146418025069425003,1454825060150331865
iterator_v2: 1368,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.order_session_2000,3120000265886404500,1125175189426376282
iterator_v2: 457,vertica_writer,vertica_writer,content.content_otahotel,dm_maker_sandbox.bar_price_difference,3124132228791836440,6606045172100001497
iterator_v2: 1075,vertica_writer,vertica_writer,olap.brand_name,dm_maker_sandbox.channel_smearing_locale,2592203241147667534,9200577902647976059
iterator_v2: 663,vertica_writer,vertica_writer,partners.partners_profile,analytics.agent_booking,2438976303386323791,5354310483102797615
iterator_v2: 456,vertica_writer,vertica_writer,content.content_otahotel,dm_maker_sandbox.bar_coverage,3124132228791836440,5985563053266350412
iterator_v2: 1037,vertica_writer,vertica_writer,hotcore.source_tags_parsed,dm_maker_sandbox.extranet_availability_metric_v5,6389088595077428457,9131784264805427474
iterator_v2: 1343,vertica_writer,vertica_writer,crm.tpp_tpp,dm_maker_sandbox.b2b_partner_check,1091616005238764353,2691370905048366143
iterator_v2: 444,vertica_writer,vertica_writer,analytics.ticket,dm_maker_sandbox.potential_visa_metrics,9084494713513446025,5840545503096915888
iterator_v2: 614,vertica_writer,vertica_writer,public.booking,dimensions.session_channel_level,3120000265886404500,8164071608209403248
iterator_v2: 1135,vertica_writer,vertica_writer,rnd.fnb_metrics_monitoring,dm_maker_sandbox.historical_data_completeness,7759704810593011063,1564456047364042239
iterator_v2: 1019,vertica_writer,vertica_writer,ostrota.orders_orderitem,analytics.order_payment_b2c,5396322364307994377,5075790969267044437
iterator_v2: 799,vertica_writer,vertica_writer,ostrota.orders_order,dm_maker_sandbox.order_extra_profit_override_v2,6608939012850644849,7220520075564489120
iterator_v2: 514,vertica_writer,vertica_writer,ostrota.fidelity_fidelitytransaction,dm_maker_sandbox.fidelity_transactions_economics,8787871124581429233,4601887301744518733
iterator_v2: 444,vertica_writer,vertica_writer,ostrota.fidelity_fidelityaccount,dm_maker_sandbox.potential_visa_metrics,986520520624062305,5840545503096915888
iterator_v2: 437,vertica_writer,vertica_writer,analytics.hit_funnel,content.description_snapshot,3146418025069425003,2034071158095175335
iterator_v1: 51,vertica_writer,vertica_writer,analytics.product_sessions,fortemp.__sessions_doubleclick_20191101,3502172141479995682,6005941941170990308
iterator_v2: 1471,vertica_writer,vertica_writer,analytics.agent_team_history,dm_maker_sandbox.opscost_front_inboxes,4033282795251918280,850453353973888762
iterator_v2: 1262,vertica_writer,vertica_writer,public.booking,dm_maker_sandbox.b2b_order_pricing_data,3120000265886404500,8998310630343856001
iterator_v2: 749,vertica_writer,vertica_writer,analytics.currency_history,dm_maker_sandbox.sessions_other_media_test,2302038586775913509,4944166167595674227
iterator_v2: 624,vertica_writer,vertica_writer,diadmin.marketing_costsource,analytics.cost_plan,3434878856066614632,7832126927878397181
iterator_v2: 535,vertica_writer,vertica_writer,content.otahotel_content,dm_maker_sandbox.serp_content,5946087123634247505,4477486943183420993
iterator_v1: 60,vertica_writer,vertica_writer,static.brand_name,fortemp.product_sessions,5217159817453279837,1805024841262406082
iterator_v2: 1054,vertica_writer,vertica_writer,partners.partners_partner_segmentation_data,dm_maker_sandbox.l2b_by_region,7512083026012174506,4199865537069173417
