transport_,new_source,new_destination
iterator_v2: 1388,vertica_writer.ostrota.fidelity_fidelitytransaction,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v10
iterator_v2: 1615,vertica_writer.static.geo_info,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v1
iterator_v2: 1441,vertica_writer.partners.partners_contractdata,vertica_writer.dm_maker_sandbox.b2b_account_manager_desktop_v3
iterator_v2: 283,vertica_writer.content.content_otahotel,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 752,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_other_media
iterator_v2: 599,vertica_writer.analytics.hit_funnel,vertica_writer.dm_maker_sandbox.hotelpage_score_data
iterator_v2: 684,vertica_writer.analytics.test_order,vertica_writer.dm_maker_sandbox.booking_base_v2
iterator_v2: 834,vertica_writer.partners.stat_orderitem,vertica_writer.dm_maker_sandbox.order_payota_b2b
iterator_v2: 1619,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v2
iterator_v2: 1619,vertica_writer.public.region2geo,vertica_writer.dm_maker_sandbox.profit_metric_tpp_v2
iterator_v2: 948,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.order_base_info
iterator_v2: 511,vertica_writer.weblogs2.hc_displays,vertica_writer.dm_maker_sandbox.analytics_serp
iterator_v2: 1032,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard_data_v1
iterator_v2: 331,vertica_writer.metasearch.tripadvisor_cpa_markets,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 501,vertica_writer.public.booking,vertica_writer.analytics.visa_suspicious_orders
iterator_v2: 974,vertica_writer.partners.partners_contract,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel
iterator_v2: 766,vertica_writer.payota.payment_operation,vertica_writer.dm_maker_sandbox.payota_data_v2
iterator_v2: 309,vertica_writer.payota.payment,vertica_writer.actualize.payment_b2c
iterator_v2: 1649,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.sessions_overwrite_last_paid
iterator_v2: 878,vertica_writer.hotcore.request_ods,vertica_writer.dm_maker_sandbox.b2b_api_hotel_page_request_v6
iterator_v2: 1548,vertica_writer.public.booking,vertica_writer.analytics.market_dashboard_source
iterator_v2: 327,vertica_writer.static.brand_name,vertica_writer.dm_maker_sandbox.metasearch_cost
iterator_v2: 1230,vertica_writer.weblogs2.hc_event,vertica_writer.dm_maker_sandbox.b2b_registration_form_channel_check_duplicates_v2
iterator_v2: 599,vertica_writer.public.region,vertica_writer.dm_maker_sandbox.hotelpage_score_data
iterator_v2: 1587,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.booking_process
iterator_v2: 1609,vertica_writer.weblogs2.hc_displays,vertica_writer.dm_maker_sandbox.serp_df
iterator_v2: 1175,vertica_writer.analytics.product_sessions,vertica_writer.dm_maker_sandbox.filters_in_searches_daily_v3
iterator_v2: 1145,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.b2b_product_monitoring_tool_v2
iterator_v2: 515,vertica_writer.ostrota.fidelity_fidelitysegmenttarget,vertica_writer.dm_maker_sandbox.fidelity_transactions_economics
iterator_v2: 488,vertica_writer.analytics.region,vertica_writer.dm_maker_sandbox.fidelity_transactions_economics
iterator_v2: 1135,vertica_writer.rnd.bandit_pricing_actions_history,vertica_writer.dm_maker_sandbox.historical_data_completeness
iterator_v2: 497,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.hotelpage_show_dashboard_v3
iterator_v2: 778,vertica_writer.static.point_of_sale,vertica_writer.dm_maker_sandbox.order_descriptive_attributes_v2
iterator_v2: 1580,vertica_writer.content.geo_region,vertica_writer.dm_maker_sandbox.region_v3
iterator_v2: 1030,vertica_writer.analytics.otahotel,vertica_writer.dm_maker_sandbox.extranet_availability_metric_v2
iterator_v2: 801,vertica_writer.ostrota.orders_orderhotcorerate,vertica_writer.dm_maker_sandbox.bandit_iterator
iterator_v2: 393,vertica_writer.metasearch.tripadvisor_cpa_markets,vertica_writer.analytics_sandbox.metasearch_cost_20190530
iterator_v2: 1243,vertica_writer.analytics.currency_converter,vertica_writer.dm_maker_sandbox.blog_article_economics_v1
iterator_v2: 1352,vertica_writer.attribution.sessions_overwrite,vertica_writer.dm_maker_sandbox.blog_article_economics_v6
iterator_v2: 674,vertica_writer.media.reports_media_alpha,vertica_writer.media.sessions_media_alpha
iterator_v2: 243,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.booking_channels_not_paid_locale
iterator_v1: 51,vertica_writer.analytics.product_sessions,vertica_writer.fortemp.__sessions_doubleclick_20191101
iterator_v2: 723,vertica_writer.intranet.ostrovok_users_history,vertica_writer.dm_maker_sandbox.agent_team_history_v3
iterator_v2: 1604,vertica_writer.external.appmetrica_installations,vertica_writer.dm_maker_sandbox.install_session_test
iterator_v2: 619,vertica_writer.dimensions.session_channel_level,vertica_writer.analytics.cost_cpc
iterator_v2: 401,vertica_writer.public.booking,vertica_writer.dm_maker_sandbox.booking2partner_contract_stats
iterator_v2: 1020,vertica_writer.hotcore.request_source,vertica_writer.dm_maker_sandbox.extranet_availability_metric_v2
iterator_v2: 1119,vertica_writer.extranet.legal_contract,vertica_writer.dm_maker_sandbox.extranet_hotel_commission_tracker
iterator_v2: 677,vertica_writer.content.suppliers,vertica_writer.analytics.supplier
iterator_v2: 1645,vertica_writer.dm_maker_sandbox.apartment_occupancy_snapshot,vertica_writer.dm_maker_sandbox.apartment_occupancy_report
iterator_v2: 597,vertica_writer.analytics.sessions,vertica_writer.dm_maker_sandbox.booking_channels_v4
